Date,Open,High,Low,Close,Adj Close,Volume
2022-01-10,36175.210938,36175.210938,35639.910156,36068.871094,36068.871094,430680000
2022-01-11,36058.851563,36271.468750,35769.378906,36252.019531,36252.019531,356850000
2022-01-12,36336.160156,36453.488281,36168.148438,36290.320313,36290.320313,310180000
2022-01-13,36312.488281,36513.878906,36044.218750,36113.621094,36113.621094,343640000
2022-01-14,35996.429688,35996.429688,35641.488281,35911.808594,35911.808594,389200000
2022-01-18,35661.761719,35661.761719,35262.019531,35368.468750,35368.468750,427260000
2022-01-19,35412.300781,35547.828125,35015.488281,35028.648438,35028.648438,393080000
2022-01-20,35102.660156,35490.199219,34670.121094,34715.390625,34715.390625,369070000
2022-01-21,34701.691406,34896.671875,34229.550781,34265.371094,34265.371094,523880000
2022-01-24,34070.609375,34420.988281,33150.328125,34364.500000,34364.500000,664010000
2022-01-25,34186.640625,34591.039063,33545.519531,34297.730469,34297.730469,506430000
2022-01-26,34520.820313,34815.671875,33876.480469,34168.089844,34168.089844,546330000
2022-01-27,34261.750000,34773.320313,34007.781250,34160.781250,34160.781250,527780000
2022-01-28,34135.238281,34731.769531,33807.511719,34725.468750,34725.468750,568440000
2022-01-31,34691.171875,35148.140625,34496.101563,35131.859375,35131.859375,468070000
2022-02-01,35151.468750,35441.089844,34977.949219,35405.238281,35405.238281,386080000
2022-02-02,35378.191406,35679.199219,35290.121094,35629.328125,35629.328125,359540000
2022-02-03,35520.078125,35535.941406,35071.058594,35111.160156,35111.160156,381020000
2022-02-04,35095.738281,35333.550781,34799.078125,35089.738281,35089.738281,349880000
2022-02-07,35108.378906,35325.011719,34993.980469,35091.128906,35091.128906,328910000
2022-02-08,35160.679688,35544.890625,35090.421875,35462.781250,35462.781250,319190000
2022-02-09,35614.898438,35824.281250,35614.898438,35768.058594,35768.058594,333610000
2022-02-10,35630.808594,35800.238281,35100.718750,35241.589844,35241.589844,411620000
2022-02-11,35267.890625,35431.148438,34620.519531,34738.058594,34738.058594,398860000
2022-02-14,34694.500000,34744.558594,34304.281250,34566.171875,34566.171875,370320000
2022-02-15,34686.191406,35047.789063,34686.191406,34988.839844,34988.839844,305670000
2022-02-16,34951.828125,35042.089844,34642.640625,34934.269531,34934.269531,294410000
2022-02-17,34858.468750,34858.468750,34246.230469,34312.031250,34312.031250,348720000
2022-02-18,34310.449219,34423.578125,33976.179688,34079.179688,34079.179688,414080000
2022-02-22,33974.089844,34024.738281,33364.289063,33596.609375,33596.609375,432090000
2022-02-23,33680.968750,33832.589844,33084.898438,33131.761719,33131.761719,370600000
2022-02-24,32830.328125,33269.339844,32272.640625,33223.828125,33223.828125,590850000
2022-02-25,33277.218750,34095.738281,33277.218750,34058.750000,34058.750000,417630000
2022-02-28,33870.621094,33963.628906,33469.308594,33892.601563,33892.601563,443460000
2022-03-01,33813.480469,33870.140625,33107.671875,33294.949219,33294.949219,438730000
2022-03-02,33379.511719,34013.671875,33379.511719,33891.351563,33891.351563,400920000
2022-03-03,33972.871094,34179.070313,33641.531250,33794.660156,33794.660156,369740000
