Date,Open,High,Low,Close,Adj Close,Volume
2022-01-10,7485.299805,7496.100098,7422.899902,7445.299805,7445.299805,1047171300
2022-01-11,7445.299805,7497.100098,7445.299805,7491.399902,7491.399902,727102400
2022-01-12,7491.399902,7564.200195,7491.399902,7551.700195,7551.700195,873805500
2022-01-13,7551.700195,7566.500000,7530.100098,7563.899902,7563.899902,776326000
2022-01-14,7563.899902,7568.200195,7523.000000,7543.000000,7543.000000,790074900
2022-01-17,7543.000000,7616.100098,7543.000000,7611.200195,7611.200195,812336800
2022-01-18,7611.200195,7613.100098,7532.000000,7563.600098,7563.600098,953228000
2022-01-19,7563.600098,7614.899902,7525.200195,7589.700195,7589.700195,867104400
2022-01-20,7589.700195,7619.000000,7549.899902,7585.000000,7585.000000,786613700
2022-01-21,7585.000000,7585.000000,7450.500000,7494.100098,7494.100098,819199800
2022-01-24,7494.100098,7494.100098,7283.399902,7297.200195,7297.200195,1332106600
2022-01-25,7297.200195,7382.600098,7297.200195,7371.500000,7371.500000,851981700
2022-01-26,7371.500000,7525.600098,7371.500000,7469.799805,7469.799805,783181000
2022-01-27,7469.799805,7596.700195,7388.799805,7554.299805,7554.299805,1022547800
2022-01-28,7554.299805,7554.299805,7420.200195,7466.100098,7466.100098,1529106100
2022-01-31,7466.100098,7524.000000,7450.899902,7464.399902,7464.399902,761419500
2022-02-01,7464.399902,7549.299805,7463.000000,7535.799805,7535.799805,746456700
2022-02-02,7535.799805,7605.600098,7535.799805,7583.000000,7583.000000,719672400
2022-02-03,7583.000000,7605.799805,7528.700195,7528.799805,7528.799805,911775100
2022-02-04,7528.799805,7599.700195,7497.200195,7516.399902,7516.399902,885041900
2022-02-07,7516.399902,7591.700195,7508.500000,7573.500000,7573.500000,1073651000
2022-02-08,7573.500000,7631.299805,7548.200195,7567.100098,7567.100098,804533800
2022-02-09,7567.100098,7657.899902,7567.100098,7643.399902,7643.399902,992005300
2022-02-10,7643.399902,7687.299805,7622.700195,7672.399902,7672.399902,831756900
2022-02-11,7672.399902,7672.399902,7596.100098,7661.000000,7661.000000,909140800
2022-02-14,7661.000000,7661.000000,7483.399902,7531.600098,7531.600098,925229500
2022-02-15,7531.600098,7608.899902,7513.200195,7608.899902,7608.899902,808114200
2022-02-16,7608.899902,7630.700195,7560.899902,7603.799805,7603.799805,1128096000
2022-02-17,7603.799805,7607.200195,7499.899902,7537.399902,7537.399902,776929900
2022-02-18,7537.399902,7570.600098,7508.700195,7513.600098,7513.600098,768986400
2022-02-21,7513.600098,7571.100098,7446.399902,7484.299805,7484.299805,622636900
2022-02-22,7484.299805,7531.299805,7365.000000,7494.200195,7494.200195,1018787100
2022-02-23,7494.200195,7550.000000,7490.500000,7498.200195,7498.200195,862648700
2022-02-24,7498.200195,7498.200195,7204.700195,7207.000000,7207.000000,1966584700
2022-02-25,7207.399902,7497.899902,7207.399902,7489.500000,7489.500000,1381725400
2022-02-28,7489.500000,7489.500000,7361.600098,7458.299805,7458.299805,1584580200
2022-03-01,7458.299805,7499.299805,7327.799805,7330.200195,7330.200195,1349616800
2022-03-02,7330.200195,7462.200195,7320.799805,7429.600098,7429.600098,1325548600
2022-03-03,7429.600098,7468.799805,7231.500000,7238.899902,7238.899902,1226956300
2022-03-04,7238.899902,7238.899902,6980.899902,6987.100098,6987.100098,1560387400
2022-03-07,6987.100098,7030.700195,6788.000000,6959.500000,6959.500000,2177431900
2022-03-08,6959.500000,7013.500000,6893.600098,6964.100098,6964.100098,1443985900
2022-03-09,6964.100098,7190.700195,6964.100098,7190.700195,7190.700195,1239463500
2022-03-10,7190.700195,7192.799805,7066.000000,7099.100098,7099.100098,1139094000
2022-03-11,7099.100098,7260.399902,7099.000000,7155.600098,7155.600098,973207200
2022-03-14,7155.600098,7222.899902,7144.000000,7193.500000,7193.500000,916048600
2022-03-15,7193.500000,7193.500000,7075.799805,7175.700195,7175.700195,870528100
2022-03-16,7175.700195,7312.200195,7175.700195,7291.700195,7291.700195,1914129400
2022-03-17,7291.700195,7385.299805,7260.500000,7385.299805,7385.299805,1095585500
2022-03-18,7385.299805,7406.100098,7318.899902,7404.700195,7404.700195,2316358900
2022-03-21,7404.700195,7465.000000,7402.600098,7442.399902,7442.399902,811977600
2022-03-22,7442.399902,7490.500000,7442.399902,7476.700195,7476.700195,1017354500
2022-03-23,7476.700195,7521.100098,7459.399902,7460.600098,7460.600098,859391300
2022-03-24,7460.600098,7492.000000,7453.299805,7467.399902,7467.399902,737167300
2022-03-25,7467.399902,7502.700195,7441.299805,7483.399902,7483.399902,870705400
2022-03-28,7483.399902,7539.299805,7471.500000,7473.100098,7473.100098,775526800
2022-03-29,7473.100098,7584.100098,7473.100098,7537.299805,7537.299805,1172893900
2022-03-30,7537.299805,7578.799805,7523.799805,7578.799805,7578.799805,1036020900
2022-03-31,7578.799805,7595.399902,7515.700195,7515.700195,7515.700195,925410900
2022-04-01,7515.700195,7552.500000,7508.899902,7537.899902,7537.899902,811395500
2022-04-04,7537.899902,7574.299805,7532.200195,7558.899902,7558.899902,837403600
2022-04-05,7558.899902,7613.700195,7536.200195,7613.700195,7613.700195,1212100600
2022-04-06,7613.700195,7614.100098,7536.200195,7587.700195,7587.700195,1102885900
2022-04-07,7587.700195,7601.500000,7537.299805,7551.799805,7551.799805,1153908000
2022-04-08,7551.799805,7669.600098,7551.799805,7669.600098,7669.600098,919254100
2022-04-11,7669.600098,7669.600098,7611.700195,7618.299805,7618.299805,835767000
2022-04-12,7618.299805,7618.299805,7543.000000,7576.700195,7576.700195,772543400
2022-04-13,7576.700195,7597.899902,7550.899902,7580.799805,7580.799805,742706800
2022-04-14,7580.799805,7622.399902,7551.399902,7616.399902,7616.399902,1005764400
2022-04-19,7616.399902,7624.899902,7565.799805,7601.299805,7601.299805,846777100
2022-04-20,7601.299805,7637.899902,7590.600098,7629.200195,7629.200195,1212543400
2022-04-21,7629.200195,7656.500000,7596.299805,7628.000000,7628.000000,764750300
2022-04-22,7628.000000,7628.000000,7521.700195,7521.700195,7521.700195,694792900
2022-04-25,7521.700195,7521.700195,7339.500000,7380.500000,7380.500000,755160100
2022-04-26,7380.500000,7463.200195,7380.500000,7386.200195,7386.200195,847986700
2022-04-27,7386.200195,7458.200195,7344.899902,7425.600098,7425.600098,958503900
2022-04-28,7425.600098,7519.700195,7425.600098,7509.200195,7509.200195,917004000
2022-04-29,7509.200195,7569.799805,7509.200195,7544.600098,7544.600098,983441700
2022-05-03,7544.600098,7561.299805,7475.700195,7561.299805,7561.299805,1342876200
2022-05-04,7561.299805,7572.700195,7493.500000,7493.500000,7493.500000,699267900
2022-05-05,7493.500000,7619.399902,7493.500000,7503.299805,7503.299805,931632400
2022-05-06,7503.299805,7503.299805,7354.100098,7387.899902,7387.899902,1089227300
2022-05-09,7387.899902,7391.600098,7216.600098,7216.600098,7216.600098,803955700
2022-05-10,7216.600098,7311.700195,7216.600098,7243.200195,7243.200195,919988500
2022-05-11,7243.200195,7349.700195,7239.000000,7347.700195,7347.700195,1206944700
